pcrplate_skirted_riser,AssemblyRefactoredoutputPlate,,,
A1,water+SSND_0024a_083+CometGFP_FL+p543-2_SacB+mastermix_sapI,dna,20,ul
B1,water+SSND_0024a_094+p363-1_RW_DV+mastermix_sapI,dna,20,ul
C1,water+SSND_0024a_095+p363-1_RW_DV+mastermix_sapI,dna,20,ul
D1,water+SSND_0024a_082+CometGFP_FL+p543-2_SacB+mastermix_sapI,dna,20,ul
