pcrplate_skirted_riser40,Input_plate_1,LiquidType ,Vol,Vol Unit,Conc,Conc Unit
A1,neb5compcells,culture,55.5,ul,0,mg/l
C1,dna_part,dna,15.5,ul,0,mg/l
