pcrplate_skirted_riser40,Input_plate_1,LiquidType ,Vol,Vol Unit,Conc,Conc Unit
A1,RWC_SEVA,dna_mix,6.5,ul,0,mg/l
C1,pDasher,dna_mix,6.5,ul,0,mg/l
