pcrplate_skirted_riser40,Input_plate_1,LiquidType ,Vol,Vol Unit,Conc,Conc Unit
A1,pComet,dna_mix,14,ul,0,mg/l
C1,pDasher,dna_mix,14,ul,0,mg/l
E1,RWC_Biobrick,dna_mix,11,ul,0,mg/l
G1,RWC_SEVA,dna_mix,11,ul,0,mg/l
