pcrplate_skirted_riser40,Input_plate_1,LiquidType ,Vol,Vol Unit,Conc,Conc Unit
A1,water,water,15.5,ul,0,mg/l
C1,mastermix_sapI,dna_mix,10.5,ul,0,mg/l
E1,LibORFs,dna,7.5,ul,0,mg/l
G1,LibPromoters,dna,7.5,ul,0,mg/l
A2,p363-1_RW_DW,dna,6.5,ul,0,mg/l
